figure,path,question,target,models,sha256
11_depth_model_metric_comparison.png,outputs/week7_03_new_data_physical_model_stability/figures/11_depth_model_metric_comparison.png,Which model has the lowest median-scale relative RMSE?,depth,"[""matern52_no_nugget"",""matern32_no_nugget"",""matern32_heteroskedastic_alpha"",""matern32_learned_nugget"",""matern52_learned_nugget"",""rbf_learned_nugget"",""rbf_no_nugget"",""polynomial_ridge_degree2"",""linear_ridge"",""training_mean""]",72e9ee186616d253b927633fe6c50b4d5bde5651ad91642bdf76c6a76057d942
12_total_height_observed_vs_predicted.png,outputs/week7_03_new_data_physical_model_stability/figures/12_total_height_observed_vs_predicted.png,How closely do the main models predict each held-out simulation?,total_height,"[""matern32_learned_nugget"",""polynomial_ridge_degree2"",""linear_ridge""]",79c97aff4ada037a0f66a483faea65a772baba12fb7ae9629eeba4039df829ae
13_total_height_residual_distribution.png,outputs/week7_03_new_data_physical_model_stability/figures/13_total_height_residual_distribution.png,Are errors centred and are there asymmetric or heavy residual tails?,total_height,"[""matern32_learned_nugget"",""polynomial_ridge_degree2"",""linear_ridge""]",1dea0a38557bbc6b56bc7f7d6ca4d64aa0368d26823c8266f8144b405453b67a
14_total_height_error_vs_observed_scale.png,outputs/week7_03_new_data_physical_model_stability/figures/14_total_height_error_vs_observed_scale.png,Do absolute errors grow systematically with the observed response scale?,total_height,"[""matern32_learned_nugget"",""polynomial_ridge_degree2""]",0a57f2c7cd92f4a973469f098f1caf9d26317a8cb66f0e898cc3990b8d1e5a04
15_total_height_predictive_interval_calibration.png,outputs/week7_03_new_data_physical_model_stability/figures/15_total_height_predictive_interval_calibration.png,Which GP uncertainty treatment is best calibrated out of sample?,total_height,"[""matern52_no_nugget"",""rbf_no_nugget"",""matern32_heteroskedastic_alpha"",""matern32_no_nugget"",""matern52_learned_nugget"",""matern32_learned_nugget"",""rbf_learned_nugget""]",6fef248c48878285e0bbf4d95b8830a70122b9ee30ca281a3738751e6674a72c
16_total_height_model_metric_comparison.png,outputs/week7_03_new_data_physical_model_stability/figures/16_total_height_model_metric_comparison.png,Which model has the lowest median-scale relative RMSE?,total_height,"[""matern32_no_nugget"",""matern32_heteroskedastic_alpha"",""matern52_no_nugget"",""matern52_learned_nugget"",""matern32_learned_nugget"",""rbf_learned_nugget"",""rbf_no_nugget"",""polynomial_ridge_degree2"",""linear_ridge"",""training_mean""]",1fb381fdd6873f6df5a1ffc1183a313beb9ffe758920d4b1004ff7b7bec23d1e
17_kinetic_energy_observed_vs_predicted.png,outputs/week7_03_new_data_physical_model_stability/figures/17_kinetic_energy_observed_vs_predicted.png,How closely do the main models predict each held-out simulation?,kinetic_energy,"[""matern32_learned_nugget"",""polynomial_ridge_degree2"",""linear_ridge""]",25ce2b90c09d9653d845e4252497cc5894e195f62a99d8a2c74f25f0950797e2
18_kinetic_energy_residual_distribution.png,outputs/week7_03_new_data_physical_model_stability/figures/18_kinetic_energy_residual_distribution.png,Are errors centred and are there asymmetric or heavy residual tails?,kinetic_energy,"[""matern32_learned_nugget"",""polynomial_ridge_degree2"",""linear_ridge""]",8d715e5f9ad5e9763e1fc6ad554a33cb1bd5df6e40e2332db4a16e90fae5256b
19_kinetic_energy_error_vs_observed_scale.png,outputs/week7_03_new_data_physical_model_stability/figures/19_kinetic_energy_error_vs_observed_scale.png,Do absolute errors grow systematically with the observed response scale?,kinetic_energy,"[""matern32_learned_nugget"",""polynomial_ridge_degree2""]",7543d798d959e058e296dbc5409c6a984fdc492ff51b67e7e76c2968495976ab
20_kinetic_energy_predictive_interval_calibration.png,outputs/week7_03_new_data_physical_model_stability/figures/20_kinetic_energy_predictive_interval_calibration.png,Which GP uncertainty treatment is best calibrated out of sample?,kinetic_energy,"[""rbf_no_nugget"",""matern52_no_nugget"",""matern32_heteroskedastic_alpha"",""matern32_no_nugget"",""matern52_learned_nugget"",""matern32_learned_nugget"",""rbf_learned_nugget""]",9c91993e970b80eff17130232201a31a8c01c0db0925a322f104dde45b72d763
21_kinetic_energy_model_metric_comparison.png,outputs/week7_03_new_data_physical_model_stability/figures/21_kinetic_energy_model_metric_comparison.png,Which model has the lowest median-scale relative RMSE?,kinetic_energy,"[""matern32_learned_nugget"",""matern52_learned_nugget"",""rbf_learned_nugget"",""matern32_heteroskedastic_alpha"",""matern32_no_nugget"",""matern52_no_nugget"",""polynomial_ridge_degree2"",""linear_ridge"",""rbf_no_nugget"",""training_mean""]",36ea2baec174cd12303d5f983bd2f35d6884da124c761e3beeeb6b9c46e9e14c
22_week6_vs_new_data_relative_rmse.png,outputs/week7_03_new_data_physical_model_stability/figures/22_week6_vs_new_data_relative_rmse.png,Did protocol-selected relative prediction error change in the shifted sampled design?,all,[],8fa35f321de78395a81cb150255dda1c80c80d761a84cd06a3ae21cadf26ea17
23_conclusion_stability_counts.png,outputs/week7_03_new_data_physical_model_stability/figures/23_conclusion_stability_counts.png,"How many Week 6 conclusions are reproduced, weakened, reversed, or unresolved?",all,[],f886c20d6858870478e25c281e53fc0673094494d0fc4d1d2ca95d20bcbed0c9
