branch,tip_sha,remote_branch_exists,matches_remote_tip,tip_reachable_from_main,unique_commits_vs_main,science_blobs_absent_from_main,science_paths_absent_from_main_by_blob,unique_science_paths,disposition
codex/week6-phase2-5-depth-closure,b112f6b22898976f77410190614cb4fb218d38f9,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week6-phase2-gp-response-models,1751286bb0da617d8c8c57a5440d187ca288e720,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week6-phase3-5-regime-target-design,b112f6b22898976f77410190614cb4fb218d38f9,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week6-phase3-model-target-robustness,b112f6b22898976f77410190614cb4fb218d38f9,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week6-phase4-new-outputs-feature-effects,cba151880fc670d1b8a20ff2f7f25295f9bcb892,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week7-1-gpc-sur-validation,00e71a62fa68d16834af8ac7802ade6404f57f95,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week7-boundary-weighted-sur,16fe1b6212d474780704ceadba45d88323ef16f3,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week7-comprehensive-presentation,167aad945b20822de712e891e901bd3ec6d5ffc6,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week7-phase1-2-sph-v2-audit,7ab7ada0c89680fe11dbdce22a51ad5f2ee7c929,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week7-phase3-new-data-model-stability,1118d30f3199a97b9836591f8fdea75b46dfac0d,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week7-phase4-new-data-feature-effects-depth-diagnostics,5b7004017cadc5ecd0eb128f2031f9148ed70900,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week7-phase5-5-g3-robustness-transfer,6cc2ea150b9deb6ec9dd529d94ac55cc86556cfb,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week7-phase5-keyhole-physical-proxy-analysis,3367f4c9b5af2def802f72a65258f5cc01896bac,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week7-phase6-real-data-boundary-active-level-set,5734de6f533e1de1e15a07de24e7d4e6e53bb6fa,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week7-phase7-final-boundary-hybrid-benchmark,167aad945b20822de712e891e901bd3ec6d5ffc6,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week8-5-frozen-sample-efficiency-confirmation,6487722fe5e60d951ab929d8539e0793f9bed366,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week8-definitive-sample-efficiency-presentation,401b51c3da96897995d2156cde92604231ba9b4a,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week8-final-sample-efficiency-thesis-consolidation,401b51c3da96897995d2156cde92604231ba9b4a,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-no-phase-controls-r-and-d,9c487d61ced8bb731b719950f5f195e46519254f,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-10-closure-diagnostics,e33cca4f81b865d330577ef9a8140c4bbe306e5a,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-10-external-experimental-validation,45e2677b7a57ed3aa5ad5154459100a9b5d2d436,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-11-fixed-mean-discrepancy-gp,5a21e5dce37fc6d4c58fa40bb7a6711920fec94e,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-12-gpc-kernel-adequacy,161453983996b763824f2d262b5ce9d63332da16,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-13-fixed-physics-ard-discrepancy,fbe76352f86580818659ab87fa23ec29a74c7f59,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-14-m3-margin-acquisition,5a7a6c05ae5bf3191b74766156407211ad414360,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-15a-physics-residual-signal-audit,a8eafbbb814f5d5c9fe71a985746d6d1c4cb76eb,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-16-m3-repulsion-scale-audit,746b19153f377bb0b7219d1c113bab672e306b19,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-17a-physics-contour-geometry-audit,2acdb9aba6bbadcd90ba0760ea0958c08e0ea593,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-18a-level-set-acquisition-compatibility-audit,658d5b73cf27e45b4b2e0897cff27a49a2ef4b84,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-18b-prospective-global-gpc-sur-benchmark,255207857d22a9823f67cb1a23d9b71bdc12ec1c,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-18b0-fast-gpc-sur-update-validation,1e34b4759037d5f3d107781791524853a406a526,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-19a-integrity-posterior-monotonicity-audit,2975e72326f1680e81f16e0a29fc003bcaaf2aae,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-19b-prospective-robust-monotone-pool-lse,bf4782881bc27fe1ec5256dc3ba0516478a1ed13,true,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-20-m3-g3-margin-acquisition,49a054e3f80b8601fcb175826d54d71519f2813a,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-5-h-physics-confirmation,b36a815e12dfa872c20a050228e0545f18c443ef,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-7-physics-ridge-residual-gp,2f750c8c270baebc7e013ebe83fc429f9df14d51,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-8-model-path-decomposition,f74c6252bbb48d503f969ef5300f20894079301b,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-9-physics-specificity-control,0df38fd5492d8ea264a2b9bbcd714d6c9d74be49,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase1-close-week8-sample-efficiency,bdb6eb3628ae5eafaa0e5bc94d454626a6cf550a,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week9-phase2-temporal-width-dynamics,da913797d14b171bec55d3708f96aa87f09a4f94,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
main,5b7d030413ed2aa24e6e4c8f124dd5145f735618,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
