target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,training_size,population_size,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,numerical_alpha_normalized,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit,fold_random_seed
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,10,sim_00013,13,229,230,"2.44**2 * Matern(length_scale=6.6, nu=1.5) + WhiteKernel(noise_level=0.0132)",5.9321139604988495,6.597079561272841,0.0131723428139347,0.1147708273645125,3.1521828398456977,1.77543877389385,0.1147708273645125,0.032444508454573,1e-08,fmin_l_bfgs_b,1,18.49064954686176,0.8201495000394061,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3941800885
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,11,sim_00014,14,229,230,"2.45**2 * Matern(length_scale=6.66, nu=1.5) + WhiteKernel(noise_level=0.0131)",6.01943186335148,6.657160096846758,0.0130769147582242,0.1143543386069118,3.141826095775681,1.77251970250705,0.1143543386069118,0.0323911651133769,1e-08,fmin_l_bfgs_b,1,19.49551208531841,1.3376569999963976,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3767851488
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,12,sim_00015,15,229,230,"2.47**2 * Matern(length_scale=6.71, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.107371431551325,6.711516443734137,0.0131825286474912,0.1148151934523096,3.1649005910213064,1.7790167483813375,0.1148151934523096,0.0325098926430995,1e-08,fmin_l_bfgs_b,1,19.511840405746312,1.2105238999938592,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3326281072
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,13,sim_00016,16,229,230,"2.45**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0131)",5.981176956766812,6.646385991947053,0.0131396311604682,0.1146282302073458,3.157321838714048,1.7768854320732237,0.1146282302073457,0.0324709448004621,1e-08,fmin_l_bfgs_b,1,19.089146408257022,1.0387505000107922,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3199253027
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,14,sim_00017,17,229,230,"2.44**2 * Matern(length_scale=6.62, nu=1.5) + WhiteKernel(noise_level=0.0131)",5.935615584633232,6.619382094035463,0.0130853673936086,0.1143912907244632,3.1437584511117644,1.7730647058445903,0.1143912907244632,0.0324011245474349,1e-08,fmin_l_bfgs_b,1,18.82470825663563,1.708716099965386,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2479621638
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,15,sim_00019,19,229,230,"2.44**2 * Matern(length_scale=6.63, nu=1.5) + WhiteKernel(noise_level=0.0131)",5.955424410205529,6.626461553675724,0.0130990862899385,0.1144512397920553,3.147580365911384,1.7741421492967762,0.1144512397920553,0.0324208138342229,1e-08,fmin_l_bfgs_b,1,19.05871994284888,1.2021477000089362,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,612544178
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,16,sim_00020,20,229,230,"2.45**2 * Matern(length_scale=6.64, nu=1.5) + WhiteKernel(noise_level=0.0131)",6.0053640182381525,6.643683997987119,0.0131421264879821,0.1146391141276925,3.151106294645452,1.7751355707791594,0.1146391141276925,0.0324389676968951,1e-08,fmin_l_bfgs_b,1,18.897584621638742,1.3783462999854237,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2364423975
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,17,sim_00021,21,229,230,"2.45**2 * Matern(length_scale=6.74, nu=1.5) + WhiteKernel(noise_level=0.0133)",5.99976003484299,6.738846898122194,0.0133424438009407,0.1155094965833579,3.1801557702790166,1.7832991252953094,0.1155094965833579,0.0325881491372315,1e-08,fmin_l_bfgs_b,1,20.101545488574946,0.6576491000014357,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2457110937
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,18,sim_00022,22,229,230,"2.43**2 * Matern(length_scale=6.62, nu=1.5) + WhiteKernel(noise_level=0.0131)",5.909317118430609,6.6157699468674975,0.0130941232258339,0.1144295557355437,3.1459528517784943,1.7736834136278363,0.1144295557355437,0.0324124308623581,1e-08,fmin_l_bfgs_b,1,19.30505073766048,0.8875032999785617,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2354308533
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,19,sim_00023,23,229,230,"2.45**2 * Matern(length_scale=6.63, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.010723624618471,6.634136107134575,0.0132326849809326,0.1150334081079609,3.158861584851759,1.7773186503415077,0.1150334081079609,0.0324788614653309,1e-08,fmin_l_bfgs_b,1,18.19298901984129,1.0689325999701396,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,550617379
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,20,sim_00024,24,229,230,"2.45**2 * Matern(length_scale=6.67, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.020621136210224,6.671270599446811,0.0132494355574348,0.1151061925242724,3.18370798767256,1.7842948152344555,0.1151061925242724,0.0326063444538618,1e-08,fmin_l_bfgs_b,1,18.603233152195656,1.3972716000280343,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2149188933
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,21,sim_00025,25,229,230,"2.44**2 * Matern(length_scale=6.63, nu=1.5) + WhiteKernel(noise_level=0.0131)",5.970942211592122,6.625716515537092,0.0131075850802913,0.1144883622045986,3.146837515103238,1.773932782013805,0.1144883622045986,0.0324169878399491,1e-08,fmin_l_bfgs_b,1,18.99031693321373,1.299969499988947,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1863076615
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,22,sim_00026,26,229,230,"2.47**2 * Matern(length_scale=6.73, nu=1.5) + WhiteKernel(noise_level=0.0133)",6.121746600680865,6.733371863410193,0.0132549341552934,0.1151300749382777,3.1810605774697955,1.783552796378564,0.1151300749382777,0.0325927847426528,1e-08,fmin_l_bfgs_b,1,19.27900979522124,0.4016373000340536,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3367377297
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,23,sim_00027,27,229,230,"2.46**2 * Matern(length_scale=6.7, nu=1.5) + WhiteKernel(noise_level=0.0133)",6.069359157617189,6.700334183021213,0.0132706674054044,0.1151983828246057,3.188389460396716,1.785606188496421,0.1151983828246057,0.0326303085924796,1e-08,fmin_l_bfgs_b,1,18.694579169879745,0.7410282999626361,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3180954780
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,24,sim_00028,28,229,230,"2.44**2 * Matern(length_scale=6.62, nu=1.5) + WhiteKernel(noise_level=0.0132)",5.95172925129607,6.616820645331913,0.0131574479085818,0.1147059192395136,3.1605380653636823,1.7777902197288864,0.1147059192395136,0.0324874789615807,1e-08,fmin_l_bfgs_b,1,18.918024119478247,0.8899826999986544,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1990338591
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,25,sim_00030,30,229,230,"2.45**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.007858189161177,6.64814999285356,0.0132284604164633,0.1150150443049226,3.1717749898738483,1.780947778536431,0.1150150443049226,0.0325451804407494,1e-08,fmin_l_bfgs_b,1,18.72332146270361,1.193704000033904,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3396132766
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,26,sim_00031,31,229,230,"2.44**2 * Matern(length_scale=6.61, nu=1.5) + WhiteKernel(noise_level=0.0129)",5.964835788755807,6.609217950817365,0.0129204173419744,0.1136680137152685,3.103249824768033,1.761604332637733,0.1136680137152685,0.0321916967818201,1e-08,fmin_l_bfgs_b,1,19.31019187991745,0.8190119999926537,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3625087140
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,27,sim_00032,32,229,230,"2.46**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.033911481552429,6.653007993818872,0.0132431473473018,0.1150788744613965,3.169225084018159,1.7802317500870943,0.1150788744613965,0.0325320956802835,1e-08,fmin_l_bfgs_b,1,18.366367690316565,0.6525632999837399,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,455552248
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,28,sim_00033,33,229,230,"2.42**2 * Matern(length_scale=6.55, nu=1.5) + WhiteKernel(noise_level=0.0128)",5.841361009739012,6.546068221717325,0.012781956884108,0.1130573168092542,3.070287776598483,1.7522236662591004,0.1130573168092542,0.0320202737431289,1e-08,fmin_l_bfgs_b,1,19.62533940306864,0.7695997999981046,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3338343563
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,29,sim_00034,34,229,230,"2.44**2 * Matern(length_scale=6.59, nu=1.5) + WhiteKernel(noise_level=0.0125)",5.951952932882104,6.585327591690343,0.012510483635886,0.1118502732937476,3.0035184523890903,1.7330661996557115,0.1118502732937476,0.0316701886845388,1e-08,fmin_l_bfgs_b,1,20.17852792039065,0.8492811999749392,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2709661595
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,30,sim_00035,35,229,230,"2.44**2 * Matern(length_scale=6.61, nu=1.5) + WhiteKernel(noise_level=0.0132)",5.937669527622847,6.613800178883237,0.0131920547838791,0.114856670611154,3.15707689070475,1.7768165045115802,0.114856670611154,0.0324696852127537,1e-08,fmin_l_bfgs_b,1,18.664559789918,1.1939942999742923,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,4268877780
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,31,sim_00037,37,229,230,"2.45**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.000632694608228,6.645465643267567,0.0132355301645576,0.1150457742142564,3.1734307110884,1.7814125606070033,0.1150457742142564,0.0325536739050355,1e-08,fmin_l_bfgs_b,1,18.56901577724,1.2212179000489414,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3415400869
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,32,sim_00039,39,229,230,"2.4**2 * Matern(length_scale=6.43, nu=1.5) + WhiteKernel(noise_level=0.0114)",5.771436783041666,6.428782776705202,0.0114110263224571,0.1068224055264491,2.740951388039129,1.6555818880499775,0.1068224055264491,0.0302542342512155,1e-08,fmin_l_bfgs_b,1,23.334757153603704,0.9192773000104352,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1222930856
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,33,sim_00040,40,229,230,"2.46**2 * Matern(length_scale=6.68, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.041454928204828,6.679142085064688,0.013174021290269,0.1147781394267613,3.162908390235746,1.7784567439878167,0.1147781394267613,0.0324996590785591,1e-08,fmin_l_bfgs_b,1,19.04885261926242,0.6052865000092424,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3988068688
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,34,sim_00041,41,229,230,"2.46**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0128)",6.0503303195291736,6.649155309412728,0.0128025743760723,0.1131484616602114,3.0749775547553817,1.7535613917839836,0.1131484616602114,0.0320447194450817,1e-08,fmin_l_bfgs_b,1,19.823131175920597,1.6942275999463163,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,582084927
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,35,sim_00042,42,229,230,"2.45**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0131)",6.001699874618057,6.646174590959787,0.0131003385388127,0.1144567103267116,3.1449470456810302,1.7733998549906984,0.1144567103267116,0.0324072490894154,1e-08,fmin_l_bfgs_b,1,19.132469044015775,0.847940000006929,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,4135275509
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,36,sim_00043,43,229,230,"2.44**2 * Matern(length_scale=6.64, nu=1.5) + WhiteKernel(noise_level=0.0131)",5.967318458810098,6.637006859775855,0.0130795912721854,0.1143660407296913,3.141520465995638,1.7724334870441931,0.1143660407296913,0.0323895896051957,1e-08,fmin_l_bfgs_b,1,19.398608797383616,0.929491200018674,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3948205674
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,37,sim_00044,44,229,230,"2.45**2 * Matern(length_scale=6.64, nu=1.5) + WhiteKernel(noise_level=0.0132)",5.984680761900007,6.642776901377505,0.0132252936303441,0.1150012766465839,3.177096481332446,1.7824411578878123,0.1150012766465839,0.0325724705730278,1e-08,fmin_l_bfgs_b,1,18.866927301596803,0.5467725999769755,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,4170794988
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,38,sim_00045,45,229,230,"2.46**2 * Matern(length_scale=6.69, nu=1.5) + WhiteKernel(noise_level=0.0133)",6.055422628122583,6.68788418570431,0.0132891107492918,0.1152784053901329,3.193296213121016,1.7869796342211108,0.1152784053901329,0.0326554070481863,1e-08,fmin_l_bfgs_b,1,18.873868096922223,0.6714634000090882,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2812008720
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,39,sim_00046,46,229,230,"2.45**2 * Matern(length_scale=6.67, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.021688908671818,6.669156382495666,0.0132388311505691,0.115060119722557,3.176764092166257,1.7823479155782849,0.115060119722557,0.0325707666556952,1e-08,fmin_l_bfgs_b,1,18.999005867865577,0.6122868999955244,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3722364861
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,40,sim_00047,47,229,230,"2.45**2 * Matern(length_scale=6.66, nu=1.5) + WhiteKernel(noise_level=0.0131)",6.018388291513711,6.658868241267618,0.0131375808677643,0.1146192866308471,3.1539335793210053,1.7759317496235618,0.1146192866308471,0.0324535171320141,1e-08,fmin_l_bfgs_b,1,19.14875970919158,0.9133807999896816,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1752200555
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,41,sim_00048,48,229,230,"2.46**2 * Matern(length_scale=6.68, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.037583748416545,6.6780696697891,0.0131922624889655,0.1148575748001215,3.1653354785296988,1.7791389711120655,0.1148575748001215,0.0325121261509392,1e-08,fmin_l_bfgs_b,1,19.18434106872047,0.8579895000439137,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1634247839
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,42,sim_00049,49,229,230,"2.38**2 * Matern(length_scale=6.43, nu=1.5) + WhiteKernel(noise_level=0.0123)",5.672953450667273,6.433673386749098,0.0122625939239645,0.1107365970398427,2.9466102019890648,1.7165693117346192,0.1107365970398427,0.0313687232510357,1e-08,fmin_l_bfgs_b,1,20.34391910522609,1.608912700030487,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1448243122
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,43,sim_00050,50,229,230,"2.44**2 * Matern(length_scale=6.6, nu=1.5) + WhiteKernel(noise_level=0.0127)",5.932811140355684,6.597239091810221,0.0127255618085567,0.1128076318719473,3.0578278154317604,1.7486645805962218,0.1128076318719473,0.031955234730476,1e-08,fmin_l_bfgs_b,1,20.27559596467188,1.2285533000249416,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1812179447
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,44,sim_00051,51,229,230,"2.46**2 * Matern(length_scale=6.69, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.060731996808359,6.685222357063272,0.0131801213647356,0.1148047096801156,3.162409025337001,1.7783163456868412,0.1148047096801156,0.0324970934289123,1e-08,fmin_l_bfgs_b,1,19.082808784204616,1.7855837999959476,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1564557268
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,45,sim_00052,52,229,230,"2.45**2 * Matern(length_scale=6.62, nu=1.5) + WhiteKernel(noise_level=0.0131)",5.981219269375201,6.623025488318869,0.0131279728734016,0.1145773663225056,3.141750942542916,1.7724985028323483,0.1145773663225056,0.0323907777088462,1e-08,fmin_l_bfgs_b,1,18.83526084542038,0.6457817999762483,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1955447914
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,46,sim_00053,53,229,230,"2.47**2 * Matern(length_scale=6.68, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.076670076171959,6.684417640014758,0.013173399368384,0.1147754301598735,3.1580805609849705,1.7770989170513187,0.1147754301598735,0.032474846041822,1e-08,fmin_l_bfgs_b,1,19.14647091646705,0.792449000000488,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2304047686
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,47,sim_00054,54,229,230,"2.45**2 * Matern(length_scale=6.63, nu=1.5) + WhiteKernel(noise_level=0.013)",6.017695470978632,6.630154806323646,0.0129781706878014,0.1139217744235116,3.116188361936006,1.765272885968627,0.1139217744235116,0.0322587362152888,1e-08,fmin_l_bfgs_b,1,19.24822935268097,0.8427848000428639,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1469589698
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,48,sim_00055,55,229,230,"2.35**2 * Matern(length_scale=6.35, nu=1.5) + WhiteKernel(noise_level=0.0121)",5.542989649487699,6.349511140964628,0.0121496856391746,0.1102256124463576,2.9193852999727365,1.7086208766056723,0.1102256124463576,0.0312234729193804,1e-08,fmin_l_bfgs_b,1,20.364507708238023,0.9308717999956572,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2997564303
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,49,sim_00056,56,229,230,"2.45**2 * Matern(length_scale=6.67, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.025882802605853,6.667909286254318,0.0132357552604408,0.1150467524984555,3.17768168118958,1.7826053071809194,0.1150467524984555,0.0325754702501816,1e-08,fmin_l_bfgs_b,1,18.84201664930916,0.5593573999940418,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,627634779
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,50,sim_00057,57,229,230,"2.42**2 * Matern(length_scale=6.55, nu=1.5) + WhiteKernel(noise_level=0.0127)",5.849870076940774,6.553940387271668,0.0126707711555936,0.1125645199678549,3.0445889433133018,1.7448750509172002,0.1125645199678549,0.0318859845656617,1e-08,fmin_l_bfgs_b,1,20.30209322306345,0.945391200017184,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,659417395
