"path","size_bytes","size_gib","git_type","branch","head_sha","upstream","staged_files","modified_files","untracked_files","ignored_top_level_entries","ignored_summary","ahead","behind","local_only_commits","remote_branch_exists","exact_remote_branch_match","head_reachable_from_live_remote","locked","prunable","classification","safe_to_remove","unique_content_verification","reason"
"C:\Users\ozgur\Documents\thesis-week7-phase6-real-data-boundary-active-level-set","0","0","registered_missing_worktree","codex/week7-phase6-real-data-boundary-active-level-set","5734de6f533e1de1e15a07de24e7d4e6e53bb6fa","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week7-phase7-final-boundary-hybrid-benchmark","0","0","registered_missing_worktree","codex/week7-phase7-final-boundary-hybrid-benchmark","167aad945b20822de712e891e901bd3ec6d5ffc6","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit","0","0","registered_missing_worktree","codex/week7-phase1-2-sph-v2-audit","7ab7ada0c89680fe11dbdce22a51ad5f2ee7c929","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week8-5-frozen-sample-efficiency-confirmation","0","0","registered_missing_worktree","codex/week8-5-frozen-sample-efficiency-confirmation","6487722fe5e60d951ab929d8539e0793f9bed366","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week8-definitive-sample-efficiency-presentation","0","0","registered_missing_worktree","codex/week8-definitive-sample-efficiency-presentation","401b51c3da96897995d2156cde92604231ba9b4a","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week8-final-sample-efficiency-thesis-consolidation","0","0","registered_missing_worktree","codex/week8-final-sample-efficiency-thesis-consolidation","401b51c3da96897995d2156cde92604231ba9b4a","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-10-closure-diagnostics","0","0","registered_missing_worktree","codex/week9-phase1-10-closure-diagnostics","e33cca4f81b865d330577ef9a8140c4bbe306e5a","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-10-external-experimental-validation","0","0","registered_missing_worktree","codex/week9-phase1-10-external-experimental-validation","45e2677b7a57ed3aa5ad5154459100a9b5d2d436","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-11-fixed-mean-discrepancy-gp-clean","0","0","registered_missing_worktree","codex/week9-phase1-11-fixed-mean-discrepancy-gp","5a21e5dce37fc6d4c58fa40bb7a6711920fec94e","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-12-gpc-kernel-adequacy","0","0","registered_missing_worktree","codex/week9-phase1-12-gpc-kernel-adequacy","161453983996b763824f2d262b5ce9d63332da16","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-13-fixed-physics-ard-discrepancy-clean","0","0","registered_missing_worktree","codex/week9-phase1-13-fixed-physics-ard-discrepancy","fbe76352f86580818659ab87fa23ec29a74c7f59","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-14-m3-margin-acquisition","0","0","registered_missing_worktree","codex/week9-phase1-14-m3-margin-acquisition","5a7a6c05ae5bf3191b74766156407211ad414360","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-15a-physics-residual-signal-audit","0","0","registered_missing_worktree","codex/week9-phase1-15a-physics-residual-signal-audit","a8eafbbb814f5d5c9fe71a985746d6d1c4cb76eb","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-16-m3-repulsion-scale-audit","0","0","registered_missing_worktree","codex/week9-phase1-16-m3-repulsion-scale-audit","746b19153f377bb0b7219d1c113bab672e306b19","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-17a-physics-contour-geometry-audit","0","0","registered_missing_worktree","codex/week9-phase1-17a-physics-contour-geometry-audit","2acdb9aba6bbadcd90ba0760ea0958c08e0ea593","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-18a-level-set-acquisition-compatibility-audit","0","0","registered_missing_worktree","codex/week9-phase1-18a-level-set-acquisition-compatibility-audit","658d5b73cf27e45b4b2e0897cff27a49a2ef4b84","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-18b-prospective-global-gpc-sur-benchmark","2998754008","2.793","linked_worktree","codex/week9-phase1-18b-prospective-global-gpc-sur-benchmark","255207857d22a9823f67cb1a23d9b71bdc12ec1c","origin/codex/week9-phase1-18b-prospective-global-gpc-sur-benchmark","0","0","0","4",".pytest_cache/;outputs/week9_phase1_18b_prospective_global_gpc_sur_benchmark/checkpoints/;src/__pycache__/;tests/__pycache__/","0","0","0","True","True","True","False","False","KEEP_UNCERTAIN","False","Checkpoint redundancy has not been independently proven.","Contains 200 ignored checkpoint files (413,133,685 bytes)."
"C:\Users\ozgur\Documents\thesis-week9-phase1-18b0-fast-gpc-sur-update-validation","0","0","registered_missing_worktree","codex/week9-phase1-18b0-fast-gpc-sur-update-validation","1e34b4759037d5f3d107781791524853a406a526","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-19a-integrity-posterior-monotonicity-audit","2595337618","2.417","linked_worktree","codex/week9-phase1-19b-prospective-robust-monotone-pool-lse","bf4782881bc27fe1ec5256dc3ba0516478a1ed13","origin/codex/week9-phase1-19b-prospective-robust-monotone-pool-lse","0","0","0","3",".pytest_cache/;src/__pycache__/;tests/__pycache__/","0","0","0","True","True","True","False","False","KEEP_UNCERTAIN","False","Latest tracked work is pushed at bf478288; explicit approval is still required.","Latest Phase 1.19B checkout; only runtime caches were identified, but canonical consolidation has not occurred."
"C:\Users\ozgur\Documents\thesis-week9-phase1-5-h-physics-confirmation","0","0","registered_missing_worktree","codex/week9-phase1-5-h-physics-confirmation","b36a815e12dfa872c20a050228e0545f18c443ef","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-7-physics-ridge-residual-gp","0","0","registered_missing_worktree","codex/week9-phase1-7-physics-ridge-residual-gp","2f750c8c270baebc7e013ebe83fc429f9df14d51","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-8-model-path-decomposition","0","0","registered_missing_worktree","codex/week9-phase1-8-model-path-decomposition","f74c6252bbb48d503f969ef5300f20894079301b","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-9-physics-specificity-control","0","0","registered_missing_worktree","codex/week9-phase1-9-physics-specificity-control","0df38fd5492d8ea264a2b9bbcd714d6c9d74be49","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase1-close-week8","0","0","registered_missing_worktree","codex/week9-phase1-close-week8-sample-efficiency","bdb6eb3628ae5eafaa0e5bc94d454626a6cf550a","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week9-phase2-temporal-width-dynamics","0","0","registered_missing_worktree","codex/week9-phase2-temporal-width-dynamics","da913797d14b171bec55d3708f96aa87f09a4f94","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
