requirement_id,category,requirement,status,notebook_section,evidence_files
58,required output,Required output exists: phase4_spearman_bootstrap_intervals.csv,PASS,A-F,phase4_spearman_bootstrap_intervals.csv
59,required output,Required output exists: phase4_standardized_ridge_coefficients.csv,PASS,A-F,phase4_standardized_ridge_coefficients.csv
60,required output,Required output exists: phase4_controlled_effect_curves.csv,PASS,A-F,phase4_controlled_effect_curves.csv
61,required output,Required output exists: phase4_interaction_surface_values.csv,PASS,A-F,phase4_interaction_surface_values.csv
62,required output,Required output exists: phase4_observed_support_summary.csv,PASS,A-F,phase4_observed_support_summary.csv
63,required output,Required output exists: phase4_beam_normalized_penetration.csv,PASS,A-F,phase4_beam_normalized_penetration.csv
64,required output,Required output exists: phase4_normalized_diagnostic_correlations.csv,PASS,A-F,phase4_normalized_diagnostic_correlations.csv
65,required output,Required output exists: phase4_normalized_diagnostic_unstable_sensitivity.csv,PASS,A-F,phase4_normalized_diagnostic_unstable_sensitivity.csv
66,required output,Required output exists: results_summary.md,PASS,A-F,results_summary.md
67,required output,Required output exists: decision_log.md,PASS,A-F,decision_log.md
68,required output,Required output exists: summary.json,PASS,A-F,summary.json
69,required output,Required output exists: validation_results.csv,PASS,A-F,validation_results.csv
70,required output,Required output exists: phase4_requirement_checklist.csv,PASS,A-F,phase4_requirement_checklist.csv
71,required output,Required output exists: figure_manifest.csv,PASS,A-F,figure_manifest.csv
72,automated validation,Validation requirement 1 is explicitly checked,PASS,F,validation_results.csv
73,automated validation,Validation requirement 2 is explicitly checked,PASS,F,validation_results.csv
74,automated validation,Validation requirement 3 is explicitly checked,PASS,F,validation_results.csv
75,automated validation,Validation requirement 4 is explicitly checked,PASS,F,validation_results.csv
76,automated validation,Validation requirement 5 is explicitly checked,PASS,F,validation_results.csv
77,automated validation,Validation requirement 6 is explicitly checked,PASS,F,validation_results.csv
78,automated validation,Validation requirement 7 is explicitly checked,PASS,F,validation_results.csv
79,automated validation,Validation requirement 8 is explicitly checked,PASS,F,validation_results.csv
80,automated validation,Validation requirement 9 is explicitly checked,PASS,F,validation_results.csv
81,automated validation,Validation requirement 10 is explicitly checked,PASS,F,validation_results.csv
82,automated validation,Validation requirement 11 is explicitly checked,PASS,F,validation_results.csv
83,automated validation,Validation requirement 12 is explicitly checked,PASS,F,validation_results.csv
84,automated validation,Validation requirement 13 is explicitly checked,PASS,F,validation_results.csv
85,automated validation,Validation requirement 14 is explicitly checked,PASS,F,validation_results.csv
86,automated validation,Validation requirement 15 is explicitly checked,PASS,F,validation_results.csv
87,automated validation,Validation requirement 16 is explicitly checked,PASS,F,validation_results.csv
88,automated validation,Validation requirement 17 is explicitly checked,PASS,F,validation_results.csv
89,automated validation,Validation requirement 18 is explicitly checked,PASS,F,validation_results.csv
90,automated validation,Validation requirement 19 is explicitly checked,PASS,F,validation_results.csv
91,automated validation,Validation requirement 20 is explicitly checked,PASS,F,validation_results.csv
92,automated validation,Validation requirement 21 is explicitly checked,PASS,F,validation_results.csv
93,automated validation,Validation requirement 22 is explicitly checked,PASS,F,validation_results.csv
94,automated validation,Validation requirement 23 is explicitly checked,PASS,F,validation_results.csv
95,automated validation,Validation requirement 24 is explicitly checked,PASS,F,validation_results.csv
96,automated validation,Validation requirement 25 is explicitly checked,PASS,F,validation_results.csv
97,automated validation,Validation requirement 26 is explicitly checked,PASS,F,validation_results.csv
98,automated validation,Validation requirement 27 is explicitly checked,PASS,F,validation_results.csv
99,automated validation,Validation requirement 28 is explicitly checked,PASS,F,validation_results.csv
100,automated validation,Validation requirement 29 is explicitly checked,PASS,F,validation_results.csv
101,automated validation,Validation requirement 30 is explicitly checked,PASS,F,validation_results.csv
102,automated validation,Validation requirement 31 is explicitly checked,PASS,F,validation_results.csv
103,automated validation,Validation requirement 32 is explicitly checked,PASS,F,validation_results.csv
104,automated validation,Validation requirement 33 is explicitly checked,PASS,F,validation_results.csv
105,automated validation,Validation requirement 34 is explicitly checked,PASS,F,validation_results.csv
106,automated validation,Validation requirement 35 is explicitly checked,PASS,F,validation_results.csv
