figure_file,notebook_section,scientific_question,source_csv_or_file,simulations_included,x_axis,y_axis,units,visual_encodings,main_takeaway,caveat,presentation_priority,uses_human_labels,uses_actual_huggingface_frames
figures/10_global_maximum_depth_position_histogram.png,B,Where does global maximum depth occur?,simulation_active_interval_summary.csv,241,event position s,simulation count,normalized position,histogram and median marker,"The median event location is s=0.511, with broad simulation variability.",A median near mid-track does not imply every simulation is deepest there.,supporting,False,False
figures/11_persistent_maximum_depth_position_histogram.png,B,Where does persistent maximum depth occur?,simulation_active_interval_summary.csv,240,event position s,simulation count,normalized position,histogram and median marker,"The median event location is s=0.534, with broad simulation variability.",A median near mid-track does not imply every simulation is deepest there.,supporting,False,False
figures/12_global_maximum_aspect_ratio_position_histogram.png,B,Where does global maximum aspect ratio occur?,simulation_active_interval_summary.csv,241,event position s,simulation count,normalized position,histogram and median marker,"The median event location is s=0.506, with broad simulation variability.",A median near mid-track does not imply every simulation is deepest there.,supporting,False,False
figures/13_persistent_maximum_aspect_ratio_position_histogram.png,B,Where does persistent maximum aspect ratio occur?,simulation_active_interval_summary.csv,240,event position s,simulation count,normalized position,histogram and median marker,"The median event location is s=0.505, with broad simulation variability.",A median near mid-track does not imply every simulation is deepest there.,supporting,False,False
figures/14_T0_window_vs_maximum_and_persistent_event_locations.png,B,Does the late T0 window cover the strongest interior episodes?,simulation_active_interval_summary.csv,241,window or event,normalized scan position s,normalized position,boxplots,Many maxima and persistent events precede the T0 window.,"Earlier events are regime candidates, not replacements for typical late geometry.",core,False,False
presentation_ready_figures/14_T0_window_vs_maximum_and_persistent_event_locations.png,B,Does the late T0 window cover the strongest interior episodes?,simulation_active_interval_summary.csv,241,window or event,normalized scan position s,normalized position,boxplots,Many maxima and persistent events precede the T0 window.,"Earlier events are regime candidates, not replacements for typical late geometry.",presentation_copy,False,False
figures/15_global_maximum_q95_persistent_depth_scatter.png,D,How do high-depth summaries differ from the global maximum?,regime_target_candidates.csv,241,G1 maximum depth,G2 q95 and G3 persistence,µm,one point per simulation,The global maximum can exceed robust or persistent depth substantially.,Differences may reflect real transients as well as numerical artefacts.,supporting,False,False
figures/16_global_maximum_vs_persistent_aspect_ratio.png,D,Which simulations have high one-frame ratios but lower persistent ratios?,regime_target_candidates.csv,241,R1,R3,dimensionless,provisional any-Keyhole label,Persistence reduces extreme one-frame ratios while retaining group separation.,Group separation is not independent validation because labels were depth-seeded.,core,True,False
presentation_ready_figures/16_global_maximum_vs_persistent_aspect_ratio.png,D,Which simulations have high one-frame ratios but lower persistent ratios?,regime_target_candidates.csv,241,R1,R3,dimensionless,provisional any-Keyhole label,Persistence reduces extreme one-frame ratios while retaining group separation.,Group separation is not independent validation because labels were depth-seeded.,presentation_copy,True,False
figures/17_persistence_window_sensitivity.png,F,"Do candidate conclusions depend critically on 20, 50, or 100 µm?",persistence_window_sensitivity.csv,241,physical-distance window,ROC and PR AUC,µm and AUC,G3 depth and R3 ratio lines,The 50 µm choice is interpreted within the full predeclared sensitivity range.,"AUC is descriptive under sparse, circular labels.",core,True,False
presentation_ready_figures/17_persistence_window_sensitivity.png,F,"Do candidate conclusions depend critically on 20, 50, or 100 µm?",persistence_window_sensitivity.csv,241,physical-distance window,ROC and PR AUC,µm and AUC,G3 depth and R3 ratio lines,The 50 µm choice is interpreted within the full predeclared sensitivity range.,"AUC is descriptive under sparse, circular labels.",presentation_copy,True,False
figures/18_candidate_availability_and_censoring.png,F,Are candidate values available and sensitive to shortened coverage?,regime_target_candidates.csv; candidate_censoring_sensitivity.csv,241,candidate or last active s,availability or R3,counts; dimensionless,bars and simulation scatter,Most continuous candidates are broadly available; R5 is censored by design.,Association with coverage does not prove censoring bias.,supporting,False,False
figures/19_candidate_target_distributions_by_simulation_label.png,E,How do candidate scores differ between Keyhole-containing and other simulations?,regime_target_candidates.csv,241,any-Keyhole group,candidate value in candidate units,mixed by panel,boxplots with outliers hidden for readability,Several depth and ratio candidates strongly separate the nine labelled positives.,The comparison is circular and class-imbalanced; hidden outliers remain in source data.,supporting,True,False
figures/20_frame_level_depth_distributions_by_physical_label.png,E,How does frame-level depth_um overlap across physical labels?,label_aligned_geometry_time_series.parquet,up to 241,physical label,Depth (µm),µm,semantic-colour violin distributions,Keyhole-labelled frames occupy deeper and higher-ratio regions.,Frames are correlated and labels were seeded from depth; inferential CIs cluster by simulation.,supporting,True,False
figures/21_frame_level_aspect_ratio_distributions_by_physical_label.png,E,How does frame-level aspect_ratio overlap across physical labels?,label_aligned_geometry_time_series.parquet,up to 241,physical label,Depth / width,dimensionless,semantic-colour violin distributions,Keyhole-labelled frames occupy deeper and higher-ratio regions.,Frames are correlated and labels were seeded from depth; inferential CIs cluster by simulation.,supporting,True,False
figures/22_candidate_simulation_level_ROC_curves.png,E,How well do continuous candidates rank provisional any-Keyhole outcomes?,simulation_level_candidate_label_metrics.csv,241,false-positive rate,true-positive rate,rate,one curve per predeclared leading candidate,Several candidates rank the sparse provisional labels strongly.,High ROC AUC is insufficient with only nine positives and circular labels.,supporting,True,False
figures/23_candidate_precision_recall_curves_with_prevalence.png,E,How much precision is achieved above the 3.7% prevalence baseline?,simulation_level_candidate_label_metrics.csv,241,recall,precision,rate,candidate curves and prevalence baseline,PR curves expose the low-prevalence problem hidden by accuracy.,Confidence intervals remain wide because nine simulations contain Keyhole.,core,True,False
presentation_ready_figures/23_candidate_precision_recall_curves_with_prevalence.png,E,How much precision is achieved above the 3.7% prevalence baseline?,simulation_level_candidate_label_metrics.csv,241,recall,precision,rate,candidate curves and prevalence baseline,PR curves expose the low-prevalence problem hidden by accuracy.,Confidence intervals remain wide because nine simulations contain Keyhole.,presentation_copy,True,False
figures/24_candidate_score_vs_keyhole_fraction.png,E,Do stronger candidate scores accompany a larger Keyhole-labelled fraction?,candidate_keyhole_fraction_correlations.csv,241,candidate value,Keyhole fraction,candidate units and fraction,simulation scatter,Persistent depth and ratio rise with provisional Keyhole fraction.,"Most simulations have zero fraction, and depth-seeded labels induce circularity.",supporting,True,False
figures/25_nested_heldout_confusion_matrices.png,E,What happens when thresholds are chosen leakage-safely?,nested_threshold_loo_predictions.csv,"240–241 exact outer folds, using each candidate's non-imputed usable population",held-out prediction,held-out label,simulation count,confusion-matrix intensity,Thresholded performance is based on one genuinely held-out decision per simulation.,Thresholds remain exploratory because labels are sparse and provisional.,core,True,False
presentation_ready_figures/25_nested_heldout_confusion_matrices.png,E,What happens when thresholds are chosen leakage-safely?,nested_threshold_loo_predictions.csv,"240–241 exact outer folds, using each candidate's non-imputed usable population",held-out prediction,held-out label,simulation count,confusion-matrix intensity,Thresholded performance is based on one genuinely held-out decision per simulation.,Thresholds remain exploratory because labels are sparse and provisional.,presentation_copy,True,False
figures/26_candidate_robustness_across_analysis_domains.png,F,Does the candidate ranking depend on the interior-domain rule?,candidate_domain_sensitivity.csv,241,candidate,ROC AUC,AUC,common versus adaptive bars,Persistent candidates are compared under both domain definitions.,The common interior is shorter because only 80% support is required.,supporting,True,False
figures/27_candidate_robustness_with_without_unstable_simulations.png,F,Do independently identified unstable simulations drive label agreement?,candidate_unstable_subset_sensitivity.csv,241 and 230,candidate,PR AUC,AUC,full versus stable-subset bars,The unstable-subset comparison is predeclared and paired by simulation ID.,Some Keyhole-positive simulations are among the unstable exclusions.,supporting,True,False
figures/28_case_typical_conduction_only.png,C,What does the objectively selected typical conduction-only case show?,representative_simulation_selection.csv; regime_geometry_time_series.parquet,sim_00157,normalized scan position s,"depth, width, depth/width",µm and dimensionless,T0 shading; maxima and persistence markers; semantic label ribbon,"R3=0.3428, group median=0.3428.",One reproducibly selected case illustrates a mechanism but cannot establish population prevalence.,core,True,False
presentation_ready_figures/28_case_typical_conduction_only.png,C,What does the objectively selected typical conduction-only case show?,representative_simulation_selection.csv; regime_geometry_time_series.parquet,sim_00157,normalized scan position s,"depth, width, depth/width",µm and dimensionless,T0 shading; maxima and persistence markers; semantic label ribbon,"R3=0.3428, group median=0.3428.",One reproducibly selected case illustrates a mechanism but cannot establish population prevalence.,presentation_copy,True,False
figures/29_case_typical_keyhole_containing.png,C,What does the objectively selected typical keyhole-containing case show?,representative_simulation_selection.csv; regime_geometry_time_series.parquet,sim_00137,normalized scan position s,"depth, width, depth/width",µm and dimensionless,T0 shading; maxima and persistence markers; semantic label ribbon,"R3=0.8101, keyhole fraction=0.2402.",One reproducibly selected case illustrates a mechanism but cannot establish population prevalence.,core,True,False
presentation_ready_figures/29_case_typical_keyhole_containing.png,C,What does the objectively selected typical keyhole-containing case show?,representative_simulation_selection.csv; regime_geometry_time_series.parquet,sim_00137,normalized scan position s,"depth, width, depth/width",µm and dimensionless,T0 shading; maxima and persistence markers; semantic label ribbon,"R3=0.8101, keyhole fraction=0.2402.",One reproducibly selected case illustrates a mechanism but cannot establish population prevalence.,presentation_copy,True,False
figures/30_case_mixed_conduction_to_keyhole.png,C,What does the objectively selected mixed conduction-to-keyhole transition case show?,representative_simulation_selection.csv; regime_geometry_time_series.parquet,sim_00222,normalized scan position s,"depth, width, depth/width",µm and dimensionless,T0 shading; maxima and persistence markers; semantic label ribbon,Balanced transition support=92 frames.,One reproducibly selected case illustrates a mechanism but cannot establish population prevalence.,core,True,False
presentation_ready_figures/30_case_mixed_conduction_to_keyhole.png,C,What does the objectively selected mixed conduction-to-keyhole transition case show?,representative_simulation_selection.csv; regime_geometry_time_series.parquet,sim_00222,normalized scan position s,"depth, width, depth/width",µm and dimensionless,T0 shading; maxima and persistence markers; semantic label ribbon,Balanced transition support=92 frames.,One reproducibly selected case illustrates a mechanism but cannot establish population prevalence.,presentation_copy,True,False
figures/31_case_spike_vs_persistent_disagreement.png,C,What does the objectively selected maximum-versus-persistence disagreement case show?,representative_simulation_selection.csv; regime_geometry_time_series.parquet,sim_00036,normalized scan position s,"depth, width, depth/width",µm and dimensionless,T0 shading; maxima and persistence markers; semantic label ribbon,"R1=1.0135, R3=0.4323, gap=0.5813.",One reproducibly selected case illustrates a mechanism but cannot establish population prevalence.,core,True,False
presentation_ready_figures/31_case_spike_vs_persistent_disagreement.png,C,What does the objectively selected maximum-versus-persistence disagreement case show?,representative_simulation_selection.csv; regime_geometry_time_series.parquet,sim_00036,normalized scan position s,"depth, width, depth/width",µm and dimensionless,T0 shading; maxima and persistence markers; semantic label ribbon,"R1=1.0135, R3=0.4323, gap=0.5813.",One reproducibly selected case illustrates a mechanism but cannot establish population prevalence.,presentation_copy,True,False
figures/32_case_persistent_deep_melt.png,C,What does the objectively selected persistent deep-melt case show?,representative_simulation_selection.csv; regime_geometry_time_series.parquet,sim_00214,normalized scan position s,"depth, width, depth/width",µm and dimensionless,T0 shading; maxima and persistence markers; semantic label ribbon,"R3=0.4925, relative gap=0.0036.",One reproducibly selected case illustrates a mechanism but cannot establish population prevalence.,supporting,True,False
figures/33_case_phase1_unstable_window.png,C,What does the objectively selected phase 1 unstable-window case show?,representative_simulation_selection.csv; regime_geometry_time_series.parquet,sim_00038,normalized scan position s,"depth, width, depth/width",µm and dimensionless,T0 shading; maxima and persistence markers; semantic label ribbon,"R3=0.4486, unstable median=0.4486.",One reproducibly selected case illustrates a mechanism but cannot establish population prevalence.,supporting,True,False
figures/34_actual_frame_sequence_mixed_keyhole_case.png,C,"What do actual simulation frames show before, near, and after the selected event?",representative_frame_provenance.csv,sim_00222,sequence order,side-view image,image pixels with aligned physical s in title,actual dataset frames only,The aligned image sequence visually contextualizes the geometry-derived persistent event.,Three frames do not independently validate the label or target.,core,True,True
presentation_ready_figures/34_actual_frame_sequence_mixed_keyhole_case.png,C,"What do actual simulation frames show before, near, and after the selected event?",representative_frame_provenance.csv,sim_00222,sequence order,side-view image,image pixels with aligned physical s in title,actual dataset frames only,The aligned image sequence visually contextualizes the geometry-derived persistent event.,Three frames do not independently validate the label or target.,presentation_copy,True,True
figures/35_final_physical_interpretation_diagram.png,G,Why are T0 and a persistent regime target different quantities?,phase3_5_final_target_recommendation.csv,241,physical interpretation,target role,not applicable,geometry and regime pathways,T0 describes typical geometry; R3 describes the strongest sustained shape ratio.,Neither target alone is a final conduction–keyhole truth label.,core,False,False
presentation_ready_figures/35_final_physical_interpretation_diagram.png,G,Why are T0 and a persistent regime target different quantities?,phase3_5_final_target_recommendation.csv,241,physical interpretation,target role,not applicable,geometry and regime pathways,T0 describes typical geometry; R3 describes the strongest sustained shape ratio.,Neither target alone is a final conduction–keyhole truth label.,presentation_copy,False,False
figures/36_final_candidate_decision_matrix.png,G,How does each candidate perform across separate decision criteria?,phase3_5_candidate_decision_matrix.csv,241,evidence dimension,candidate,qualitative ratings and AUC,unweighted decision table,R3 is the provisional regime proxy; G3 remains a companion and G1/R1 are references.,"Label-agreement columns are descriptive, not independent validation.",core,True,False
presentation_ready_figures/36_final_candidate_decision_matrix.png,G,How does each candidate perform across separate decision criteria?,phase3_5_candidate_decision_matrix.csv,241,evidence dimension,candidate,qualitative ratings and AUC,unweighted decision table,R3 is the provisional regime proxy; G3 remains a companion and G1/R1 are references.,"Label-agreement columns are descriptive, not independent validation.",presentation_copy,True,False
figures/37_final_recommended_geometry_regime_active_learning_roles.png,G,What should be carried into later active-learning design?,phase3_5_active_learning_implications.md,241,target role,future decision path,not applicable,separate geometry and regime branches,Retain two outputs until independent relabelling supports collapsing to one target.,"No active-learning loop, classifier, acquisition rule, or level set is implemented here.",core,False,False
presentation_ready_figures/37_final_recommended_geometry_regime_active_learning_roles.png,G,What should be carried into later active-learning design?,phase3_5_active_learning_implications.md,241,target role,future decision path,not applicable,separate geometry and regime branches,Retain two outputs until independent relabelling supports collapsing to one target.,"No active-learning loop, classifier, acquisition rule, or level set is implemented here.",presentation_copy,False,False
