simulation_id,candidate_id,value,unit,analysis_domain,persistence_window_um,event_position_s,available,note
sim_00011,R2,0.3095829449658472,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00011,R3,0.312252692181297,dimensionless,adaptive_active_interior,50.0,0.8978620246036749,True,Maximum trailing 50 um rolling-median depth/width.
sim_00012,G0,54.700129999999994,um,Phase1_T0_window,,0.6760683167521176,True,Existing late-active median depth geometry target.
sim_00012,G1,54.97528,um,full_valid_track,,0.5291577399753183,True,Spike-sensitive global maximum depth reference.
sim_00012,G2,54.8616265,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00012,G3,54.81933,um,adaptive_active_interior,50.0,0.5691479508265095,True,Maximum trailing 50 um rolling-median depth.
sim_00012,G4,54.88185,um,adaptive_active_interior,50.0,0.5883798121122551,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00012,R0,0.3465510156891785,dimensionless,Phase1_T0_window,,0.6760683167521176,True,T0-window median depth/width.
sim_00012,R1,0.35593360680659025,dimensionless,full_valid_track,,0.44202253918540446,True,Spike-sensitive global maximum depth/width reference.
sim_00012,R2,0.3540188820776183,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00012,R3,0.3538372893285913,dimensionless,adaptive_active_interior,50.0,0.4504429132816161,True,Maximum trailing 50 um rolling-median depth/width.
sim_00013,G0,38.69279,um,Phase1_T0_window,,0.8242378857352101,True,Existing late-active median depth geometry target.
sim_00013,G1,42.834480000000006,um,full_valid_track,,0.43351477720023934,True,Spike-sensitive global maximum depth reference.
sim_00013,G2,42.597249500000004,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00013,G3,42.669115,um,adaptive_active_interior,50.0,0.44615194741561537,True,Maximum trailing 50 um rolling-median depth.
sim_00013,G4,42.77621,um,adaptive_active_interior,50.0,0.44407675296352433,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00013,R0,0.2549077344136177,dimensionless,Phase1_T0_window,,0.8242378857352101,True,T0-window median depth/width.
sim_00013,R1,0.28472194837529763,dimensionless,full_valid_track,,0.4322771109172247,True,Spike-sensitive global maximum depth/width reference.
sim_00013,R2,0.28258309356190464,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00013,R3,0.2830831836636566,dimensionless,adaptive_active_interior,50.0,0.4448212281405517,True,Maximum trailing 50 um rolling-median depth/width.
sim_00014,G0,50.81113,um,Phase1_T0_window,,0.3738695729520865,True,Existing late-active median depth geometry target.
sim_00014,G1,50.982839999999996,um,full_valid_track,,0.3683971319924236,True,Spike-sensitive global maximum depth reference.
sim_00014,G2,50.863398,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00014,G3,50.8066,um,adaptive_active_interior,50.0,0.3563479270402094,True,Maximum trailing 50 um rolling-median depth.
sim_00014,G4,50.869403999999996,um,adaptive_active_interior,50.0,0.3447590155164428,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00014,R0,0.23365536464601727,dimensionless,Phase1_T0_window,,0.3738695729520865,True,T0-window median depth/width.
sim_00014,R1,0.25049759397187377,dimensionless,full_valid_track,,0.2879574722621646,True,Spike-sensitive global maximum depth/width reference.
sim_00014,R2,0.24744898522372244,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00014,R3,0.24495095221756202,dimensionless,adaptive_active_interior,50.0,0.30482841765034824,True,Maximum trailing 50 um rolling-median depth/width.
sim_00015,G0,46.77987,um,Phase1_T0_window,,0.8243613189501393,True,Existing late-active median depth geometry target.
sim_00015,G1,55.19167,um,full_valid_track,,0.38226024939794523,True,Spike-sensitive global maximum depth reference.
sim_00015,G2,54.910641,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00015,G3,54.9103,um,adaptive_active_interior,50.0,0.40404573796042886,True,Maximum trailing 50 um rolling-median depth.
sim_00015,G4,54.983830000000005,um,adaptive_active_interior,50.0,0.39086379283027656,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00015,R0,0.34350209615966615,dimensionless,Phase1_T0_window,,0.8243613189501393,True,T0-window median depth/width.
sim_00015,R1,0.4096857527058808,dimensionless,full_valid_track,,0.38007127200420315,True,Spike-sensitive global maximum depth/width reference.
sim_00015,R2,0.4072956512891157,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00015,R3,0.4072140073026328,dimensionless,adaptive_active_interior,50.0,0.40675592147234857,True,Maximum trailing 50 um rolling-median depth/width.
sim_00016,G0,54.776695,um,Phase1_T0_window,,0.4907805332932435,True,Existing late-active median depth geometry target.
sim_00016,G1,59.1335,um,full_valid_track,,0.41148042357766285,True,Spike-sensitive global maximum depth reference.
sim_00016,G2,58.347128,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00016,G3,58.30036,um,adaptive_active_interior,50.0,0.4220470796856998,True,Maximum trailing 50 um rolling-median depth.
sim_00016,G4,58.402148,um,adaptive_active_interior,50.0,0.41908366442280665,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00016,R0,0.3208164879718932,dimensionless,Phase1_T0_window,,0.4907805332932435,True,T0-window median depth/width.
sim_00016,R1,0.34701103178796583,dimensionless,full_valid_track,,0.39075921523729673,True,Spike-sensitive global maximum depth/width reference.
sim_00016,R2,0.3430004105711067,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00016,R3,0.34247607648841855,dimensionless,adaptive_active_interior,50.0,0.423251613412983,True,Maximum trailing 50 um rolling-median depth/width.
sim_00017,G0,50.5307,um,Phase1_T0_window,,0.713863486677197,True,Existing late-active median depth geometry target.
sim_00017,G1,50.941649999999996,um,full_valid_track,,0.7699298343260069,True,Spike-sensitive global maximum depth reference.
sim_00017,G2,50.5772255,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00017,G3,50.55268,um,adaptive_active_interior,50.0,0.7135291315203459,True,Maximum trailing 50 um rolling-median depth.
sim_00017,G4,50.59391,um,adaptive_active_interior,50.0,0.726018914476264,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00017,R0,0.4485623780098948,dimensionless,Phase1_T0_window,,0.713863486677197,True,T0-window median depth/width.
sim_00017,R1,0.45590913025161944,dimensionless,full_valid_track,,0.7548470541669581,True,Spike-sensitive global maximum depth/width reference.
sim_00017,R2,0.4518932864204877,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00017,R3,0.45151487252239486,dimensionless,adaptive_active_interior,50.0,0.2715486660440832,True,Maximum trailing 50 um rolling-median depth/width.
sim_00018,G0,30.58443,um,Phase1_T0_window,,0.8246361366149181,True,Existing late-active median depth geometry target.
sim_00018,G1,30.79184,um,full_valid_track,,0.8123740156160209,True,Spike-sensitive global maximum depth reference.
sim_00018,G2,30.721610000000002,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00018,G3,30.731634999999997,um,adaptive_active_interior,50.0,0.8380470655196375,True,Maximum trailing 50 um rolling-median depth.
sim_00018,G4,30.761312,um,adaptive_active_interior,50.0,0.8352181359346189,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00018,R0,0.23826514459710166,dimensionless,Phase1_T0_window,,0.8246361366149181,True,T0-window median depth/width.
sim_00018,R1,0.25449223484317013,dimensionless,full_valid_track,,0.8949506125189044,True,Spike-sensitive global maximum depth/width reference.
sim_00018,R2,0.24787089643011398,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00018,R3,0.25018840828514644,dimensionless,adaptive_active_interior,50.0,0.9072135241632975,True,Maximum trailing 50 um rolling-median depth/width.
sim_00019,G0,54.767900000000004,um,Phase1_T0_window,,0.6596353637912162,True,Existing late-active median depth geometry target.
sim_00019,G1,55.165389999999995,um,full_valid_track,,0.5301756604430707,True,Spike-sensitive global maximum depth reference.
sim_00019,G2,54.95459,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00019,G3,54.87616,um,adaptive_active_interior,50.0,0.5432697275907615,True,Maximum trailing 50 um rolling-median depth.
sim_00019,G4,54.99453,um,adaptive_active_interior,50.0,0.5333763413320556,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00019,R0,0.3303560701018463,dimensionless,Phase1_T0_window,,0.6596353637912162,True,T0-window median depth/width.
sim_00019,R1,0.3537623728107382,dimensionless,full_valid_track,,0.3123563640610104,True,Spike-sensitive global maximum depth/width reference.
sim_00019,R2,0.34577621815771237,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00019,R3,0.3452132576880364,dimensionless,adaptive_active_interior,50.0,0.3478304349340546,True,Maximum trailing 50 um rolling-median depth/width.
sim_00020,G0,42.80561,um,Phase1_T0_window,,0.8244931992164946,True,Existing late-active median depth geometry target.
sim_00020,G1,43.23801,um,full_valid_track,,0.6731636991893768,True,Spike-sensitive global maximum depth reference.
sim_00020,G2,43.030796,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00020,G3,42.95511,um,adaptive_active_interior,50.0,0.7010221253978381,True,Maximum trailing 50 um rolling-median depth.
sim_00020,G4,43.10341,um,adaptive_active_interior,50.0,0.6767600724712679,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00020,R0,0.3840888328765962,dimensionless,Phase1_T0_window,,0.8244931992164946,True,T0-window median depth/width.
sim_00020,R1,0.3904290348752439,dimensionless,full_valid_track,,0.6496263002205126,True,Spike-sensitive global maximum depth/width reference.
sim_00020,R2,0.38757404348586033,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00020,R3,0.38664491724306344,dimensionless,adaptive_active_interior,50.0,0.40986404202567667,True,Maximum trailing 50 um rolling-median depth/width.
sim_00021,G0,74.79356,um,Phase1_T0_window,,0.18723558808130208,True,Existing late-active median depth geometry target.
sim_00021,G1,79.28481,um,full_valid_track,,0.1910100233962282,True,Spike-sensitive global maximum depth reference.
sim_00021,G2,74.2755255,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00021,G3,70.74428,um,adaptive_active_interior,50.0,0.16675492496429978,True,Maximum trailing 50 um rolling-median depth.
sim_00021,G4,74.09308,um,adaptive_active_interior,50.0,0.16675492496429978,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00021,R0,0.42260101247877324,dimensionless,Phase1_T0_window,,0.18723558808130208,True,T0-window median depth/width.
sim_00021,R1,0.4460510871730609,dimensionless,full_valid_track,,0.1910131851223098,True,Spike-sensitive global maximum depth/width reference.
sim_00021,R2,0.4158208974898711,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00021,R3,0.39696655179729096,dimensionless,adaptive_active_interior,50.0,0.1660054294763169,True,Maximum trailing 50 um rolling-median depth/width.
sim_00022,G0,50.78823,um,Phase1_T0_window,,0.6090982435044475,True,Existing late-active median depth geometry target.
sim_00022,G1,51.04531,um,full_valid_track,,0.5688321561879957,True,Spike-sensitive global maximum depth reference.
sim_00022,G2,50.898230000000005,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00022,G3,50.83506,um,adaptive_active_interior,50.0,0.48394088031288557,True,Maximum trailing 50 um rolling-median depth.
sim_00022,G4,50.906576,um,adaptive_active_interior,50.0,0.5161606803746992,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00022,R0,0.24777427996159634,dimensionless,Phase1_T0_window,,0.6090982435044475,True,T0-window median depth/width.
sim_00022,R1,0.2655240942726655,dimensionless,full_valid_track,,0.37234499042514196,True,Spike-sensitive global maximum depth/width reference.
sim_00022,R2,0.26279432288988297,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00022,R3,0.26290203718845206,dimensionless,adaptive_active_interior,50.0,0.3811148544649621,True,Maximum trailing 50 um rolling-median depth/width.
sim_00023,G0,34.760245000000005,um,Phase1_T0_window,,0.8242312397646514,True,Existing late-active median depth geometry target.
sim_00023,G1,35.102650000000004,um,full_valid_track,,0.5072802551520627,True,Spike-sensitive global maximum depth reference.
sim_00023,G2,34.921216,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00023,G3,34.86106,um,adaptive_active_interior,50.0,0.41713414171427127,True,Maximum trailing 50 um rolling-median depth.
sim_00023,G4,35.0113,um,adaptive_active_interior,50.0,0.3967992626764127,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00023,R0,0.22063323087060682,dimensionless,Phase1_T0_window,,0.8242312397646514,True,T0-window median depth/width.
sim_00023,R1,0.2276623806430101,dimensionless,full_valid_track,,0.49534700617372923,True,Spike-sensitive global maximum depth/width reference.
sim_00023,R2,0.22509936280196563,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00023,R3,0.22512248247762,dimensionless,adaptive_active_interior,50.0,0.432790252736731,True,Maximum trailing 50 um rolling-median depth/width.
sim_00024,G0,54.76636,um,Phase1_T0_window,,0.6834921128404698,True,Existing late-active median depth geometry target.
sim_00024,G1,55.29636,um,full_valid_track,,0.4962183738029107,True,Spike-sensitive global maximum depth reference.
sim_00024,G2,54.905899999999995,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00024,G3,54.813959999999994,um,adaptive_active_interior,50.0,0.627896240961568,True,Maximum trailing 50 um rolling-median depth.
sim_00024,G4,54.936976,um,adaptive_active_interior,50.0,0.6737232059320324,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00024,R0,0.4623329896485526,dimensionless,Phase1_T0_window,,0.6834921128404698,True,T0-window median depth/width.
sim_00024,R1,0.4722157371577146,dimensionless,full_valid_track,,0.3908186627280393,True,Spike-sensitive global maximum depth/width reference.
sim_00024,R2,0.46752414690017785,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00024,R3,0.46677488851036064,dimensionless,adaptive_active_interior,50.0,0.3438113375291271,True,Maximum trailing 50 um rolling-median depth/width.
sim_00025,G0,46.692315,um,Phase1_T0_window,,0.8243853640793118,True,Existing late-active median depth geometry target.
sim_00025,G1,47.39063,um,full_valid_track,,0.6181158866383281,True,Spike-sensitive global maximum depth reference.
sim_00025,G2,46.960303999999994,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00025,G3,46.915980000000005,um,adaptive_active_interior,50.0,0.7335864269455293,True,Maximum trailing 50 um rolling-median depth.
sim_00025,G4,47.021082,um,adaptive_active_interior,50.0,0.7199079759916467,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00025,R0,0.39801675143427223,dimensionless,Phase1_T0_window,,0.8243853640793118,True,T0-window median depth/width.
sim_00025,R1,0.4071748924198712,dimensionless,full_valid_track,,0.8211368667142793,True,Spike-sensitive global maximum depth/width reference.
sim_00025,R2,0.40207493743060707,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00025,R3,0.4014387084998843,dimensionless,adaptive_active_interior,50.0,0.8373234378859175,True,Maximum trailing 50 um rolling-median depth/width.
sim_00026,G0,62.056760000000004,um,Phase1_T0_window,,0.5989320667540994,True,Existing late-active median depth geometry target.
sim_00026,G1,62.68266,um,full_valid_track,,0.6436623352243895,True,Spike-sensitive global maximum depth reference.
sim_00026,G2,62.099380000000004,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00026,G3,62.10921,um,adaptive_active_interior,50.0,0.5982459151884895,True,Maximum trailing 50 um rolling-median depth.
sim_00026,G4,62.294276,um,adaptive_active_interior,50.0,0.5875347113070283,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00026,R0,0.4910520348614683,dimensionless,Phase1_T0_window,,0.5989320667540994,True,T0-window median depth/width.
sim_00026,R1,0.49840409403564706,dimensionless,full_valid_track,,0.6441653710890143,True,Spike-sensitive global maximum depth/width reference.
sim_00026,R2,0.49386370417114156,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00026,R3,0.4934151958625713,dimensionless,adaptive_active_interior,50.0,0.24755709711505847,True,Maximum trailing 50 um rolling-median depth/width.
sim_00027,G0,50.8492,um,Phase1_T0_window,,0.748580789747816,True,Existing late-active median depth geometry target.
sim_00027,G1,54.33847,um,full_valid_track,,0.8278073364517751,True,Spike-sensitive global maximum depth reference.
sim_00027,G2,50.971605,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00027,G3,50.892649999999996,um,adaptive_active_interior,50.0,0.6141612546729689,True,Maximum trailing 50 um rolling-median depth.
sim_00027,G4,50.982046,um,adaptive_active_interior,50.0,0.6225103771798562,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00027,R0,0.45104210584251253,dimensionless,Phase1_T0_window,,0.748580789747816,True,T0-window median depth/width.
sim_00027,R1,0.4864169585352527,dimensionless,full_valid_track,,0.8269856706513585,True,Spike-sensitive global maximum depth/width reference.
