figure_number,figure,relative_path,filename,title,question,source_artifacts,population,units,evaluation_status,training_evaluation_status,major_caveat,sha256,bytes,nominal_width_px,nominal_height_px,population_units_method_caveat_in_figure,population_units_status_caveat_visible,meaningful_explanatory_figure
11,figures/11_max_depth_event_context_and_ambiguity_flags.png,figures/11_max_depth_event_context_and_ambiguity_flags.png,11_max_depth_event_context_and_ambiguity_flags.png,"Maximum-depth recording-end, laser-exit, and geometry flags",Do obvious timing or geometry warning contexts dominate maximum-depth events?,max_depth_event_audit.csv,405 primary-common event-audit simulations,fraction of simulations,descriptive semantic artifact audit,descriptive semantic artifact audit,"a flag marks review context, not proof that the maximum-depth scalar is invalid",bd71d743c1a7dce6acbd4c9c9d1fd89759f5c3d46543c0af9b72d8b3ca265caa,111466,1890,972,True,True,True
12,figures/12_max_depth_recording_fraction_by_label.png,figures/12_max_depth_recording_fraction_by_label.png,12_max_depth_recording_fraction_by_label.png,Recording position of maximum depth by manual label,Are maximum-depth events concentrated at the recording end?,max_depth_event_audit.csv,405 primary-common event-audit simulations,recording fraction; simulation count,descriptive semantic timing audit,descriptive semantic timing audit,recording-row fraction is not physical time equivalence to saved labelled frames,f1ae73dc5cd340bc6735c1c2a3b2f4f18656168a27a243095f1df5d2b019d475,65313,1476,936,True,True,True
13,figures/13_max_depth_value_vs_recording_position.png,figures/13_max_depth_value_vs_recording_position.png,13_max_depth_value_vs_recording_position.png,Maximum-depth value versus recording position,Are unusually deep cases explained mainly by late recording position?,max_depth_event_audit.csv,405 finite primary-common event-audit simulations,recording fraction; maximum depth µm,descriptive semantic artifact audit,descriptive semantic artifact audit,visual association cannot establish an artifact mechanism; flagged cases require raw trajectory/GIF review,6add1b09bf465b318a53988972bc45ec4477753375204a32249b374d7a8b742b,143838,1476,990,True,True,True
14,figures/14_max_depth_descriptive_oracle_error_cases.png,figures/14_max_depth_descriptive_oracle_error_cases.png,14_max_depth_descriptive_oracle_error_cases.png,Full-common maximum-depth oracle errors,Which high-depth negatives and low-depth positives remain under the best full-common scalar threshold?,max_depth_event_audit.csv,405 primary-common simulations,maximum depth µm,unavailable full-common oracle diagnostic; not held-out,unavailable full-common oracle diagnostic; not held-out,this threshold sees all manual labels and may never enter active acquisition or primary method ranking,5ffce68c959a193f9bf8aaa8fc6323a6bc4540b3704976d88b7be6d1523f262e,92007,1800,990,True,True,True
15,figures/15_max_depth_raw_review_case_selection.png,figures/15_max_depth_raw_review_case_selection.png,15_max_depth_raw_review_case_selection.png,Deterministic maximum-depth raw-review set,Which semantic-risk and error-case categories were selected for raw GIF/frame review?,max_depth_raw_review_cases.csv,16 unique deterministic review cases,selected-case count,descriptive case-selection audit,descriptive case-selection audit,selection does not relabel experiments or redefine the scalar after inspection; categories may overlap,40b2db360c29483c019572d31c5d04c9e37e6a495ba07f6fd4cca9974c00bcff,68521,1800,990,True,True,True
16,figures/16_representative_keyhole_max_depth_event_timeline.png,figures/16_representative_keyhole_max_depth_event_timeline.png,16_representative_keyhole_max_depth_event_timeline.png,High-depth Keyhole event-marker timelines,How do maximum-depth event markers align with the available saved Keyhole span in deterministic high-depth cases?,max_depth_event_audit.csv,top 8 Keyhole cases by maximum depth,iteration/timestep index,descriptive event-marker audit; not a reconstructed time series,descriptive event-marker audit; not a reconstructed time series,monitor iterations and saved labelled frames are not asserted equivalent; the red span does not prove continuous Keyhole morphology between frames,846d236e98ac0a6b20dc0ddbe3bb0a9159f134e59f20e8ebabe56352f6527a9e,122590,1980,1026,True,True,True
17,figures/17_representative_non_keyhole_high_depth_event_timeline.png,figures/17_representative_non_keyhole_high_depth_event_timeline.png,17_representative_non_keyhole_high_depth_event_timeline.png,High-depth non-Keyhole event-marker timelines,How do maximum-depth event markers align with the available saved Keyhole span in deterministic high-depth cases?,max_depth_event_audit.csv,top 8 non-Keyhole cases by maximum depth,iteration/timestep index,descriptive event-marker audit; not a reconstructed time series,descriptive event-marker audit; not a reconstructed time series,monitor iterations and saved labelled frames are not asserted equivalent; no Keyhole span exists for these manual-negative cases,967c09cd536025bd6dbb5f699432a7d2c9c7e51abd5772f95dbfb8ebca8330be,116242,1980,1026,True,True,True
18,figures/18_empirical_boundary_distance_distribution.png,figures/18_empirical_boundary_distance_distribution.png,18_empirical_boundary_distance_distribution.png,Model-independent empirical boundary-distance distribution,How many observed experiments lie near an opposite manual label in physical input space?,empirical_boundary_reference.csv,405 primary-common simulations,"Euclidean distance in standardized P,VX,LS,ST space",full-label offline evaluation reference only; not itself held-out/descriptive/oracle performance,full-label offline evaluation reference only; not itself held-out/descriptive/oracle performance,the score may define held-out q20/q30 evaluation subsets but must never enter fitting or acquisition,1dd4bff79af69959654ad0a97f44769a9354f0e246614976179163d8e1441d1a,86741,1530,954,True,True,True
19,figures/19_empirical_boundary_q10_q20_q30_p_vx_projection.png,figures/19_empirical_boundary_q10_q20_q30_p_vx_projection.png,19_empirical_boundary_q10_q20_q30_p_vx_projection.png,Empirical q10/q20/q30 boundary subsets in the P–VX projection,Where do model-independent opposite-label-near observations appear in this 2D projection?,empirical_boundary_reference.csv,405 primary-common simulations,W; m/s,full-label offline evaluation reference only; not itself held-out/descriptive/oracle performance,full-label offline evaluation reference only; not itself held-out/descriptive/oracle performance,"membership is computed in standardized 4D, so apparent 2D overlap or separation can be misleading; q20/q30 are primary and q10 is noisy",ec4a9c195ec1af9edbcbb30891e4e6a525d648ab204609ef57dc126665891c16,206077,2700,864,True,True,True
20,figures/20_empirical_boundary_q10_q20_q30_p_ls_projection.png,figures/20_empirical_boundary_q10_q20_q30_p_ls_projection.png,20_empirical_boundary_q10_q20_q30_p_ls_projection.png,Empirical q10/q20/q30 boundary subsets in the P–LS projection,Where do model-independent opposite-label-near observations appear in this 2D projection?,empirical_boundary_reference.csv,405 primary-common simulations,W; µm,full-label offline evaluation reference only; not itself held-out/descriptive/oracle performance,full-label offline evaluation reference only; not itself held-out/descriptive/oracle performance,"membership is computed in standardized 4D, so apparent 2D overlap or separation can be misleading; q20/q30 are primary and q10 is noisy",f4bcff0607fbd97203ae437700969651ea35899526fd7f8648f47f0aa4525450,201066,2700,864,True,True,True
21,figures/21_empirical_boundary_distance_vs_local_label_mixing.png,figures/21_empirical_boundary_distance_vs_local_label_mixing.png,21_empirical_boundary_distance_vs_local_label_mixing.png,Primary boundary distance versus secondary local-label mixing,Do two model-independent boundary-proximity diagnostics tell a compatible story?,empirical_boundary_reference.csv,405 finite primary-common simulations,standardized 4D distance; entropy bits; fraction,full-label offline evaluation robustness diagnostic; not itself held-out/descriptive/oracle performance,full-label offline evaluation robustness diagnostic; not itself held-out/descriptive/oracle performance,both diagnostics use full manual labels and are prohibited from acquisition; local mixing depends on the declared k,72d4905a3f25e94d4e09c37c92bf4eac3e059c1c465d4124598192e0692a9a6e,162929,2160,936,True,True,True
22,figures/22_empirical_boundary_local_mixing_vx_ls_projection.png,figures/22_empirical_boundary_local_mixing_vx_ls_projection.png,22_empirical_boundary_local_mixing_vx_ls_projection.png,Local manual-label mixing in the VX–LS projection,Where are locally mixed labels observed in one diagnostic projection?,empirical_boundary_reference.csv,405 primary-common simulations,VX m/s; LS µm; entropy bits,full-label offline evaluation robustness diagnostic; not itself held-out/descriptive/oracle performance,full-label offline evaluation robustness diagnostic; not itself held-out/descriptive/oracle performance,entropy is computed in 4D and only projected here; it is not an acquisition score,c9a20e79126b9835f9e0195b1b41db59042146071589978a33dee2922fae48e2,263116,1476,990,True,True,True
23,figures/23_outer_split_heldout_label_balance.png,figures/23_outer_split_heldout_label_balance.png,23_outer_split_heldout_label_balance.png,Manual-label balance across the 20 untouched test folds,Did repeated stratification preserve a usable class balance in every held-out run?,outer_split_balance_audit.csv,20 primary-common untouched test folds,Keyhole fraction,predeclared held-out split audit,predeclared held-out split audit,repeated-CV test sets overlap across repeats; this chart verifies design rather than independent sample size,51473b6dde7ec2086d38bbce82c5e87f121e38d01d798ce5aef3e0701a618c90,147234,2160,954,True,True,True
24,figures/24_outer_split_heldout_partition_balance.png,figures/24_outer_split_heldout_partition_balance.png,24_outer_split_heldout_partition_balance.png,Source-partition composition of the 20 untouched test folds,Are major source partitions represented across held-out runs without forcing impossible partition-by-label strata?,outer_split_balance_audit.csv,20 primary-common untouched test folds,simulation count,predeclared held-out split audit,predeclared held-out split audit,stratification is by manual label; partition balance is audited rather than guaranteed exactly,8eaf47cf12c083c336acdeb64622229832057138c7e27bf46f1af48e60823ea3,156055,2160,1026,True,True,True
25,figures/25_active_learning_fairness_and_leakage_audit.png,figures/25_active_learning_fairness_and_leakage_audit.png,25_active_learning_fairness_and_leakage_audit.png,Matched-design and leakage audit across active-learning arms,"Did every saved active arm respect the common split, warm start, hidden-information, and test-set rules?",fairness_audit.csv,280 saved run/method audit rows,pass fraction,protocol validation; no performance inference; not itself held-out/descriptive/oracle performance,protocol validation; no performance inference; not itself held-out/descriptive/oracle performance,a passing design audit is necessary but does not establish model quality or a winning formulation,d09db3db169d7d606213f7b9b8152c82238b334b29d79f087994b3de16b3fe94,86069,1980,1116,True,True,True
26,figures/26_static_model_heldout_balanced_accuracy.png,figures/26_static_model_heldout_balanced_accuracy.png,26_static_model_heldout_balanced_accuracy.png,Static held-out balanced accuracy by model,Which predeclared static Binary and Max-Depth models predict unseen manual labels best?,static_model_summary.csv,20 matched outer held-out folds; primary common population,balanced accuracy,held-out repeated stratified evaluation,held-out repeated stratified evaluation,this is global held-out classification agreement; it is not active sample efficiency,e59dd1eb50f29573d5d6fe193163d0c9f1ebd100eab2701accc34e78dc6b8a6d,85445,1980,1008,True,True,True
27,figures/27_static_model_heldout_roc_auc.png,figures/27_static_model_heldout_roc_auc.png,27_static_model_heldout_roc_auc.png,Static held-out ROC AUC by model,Which static formulation ranks held-out Keyhole cases most effectively?,static_model_summary.csv,20 matched outer held-out folds; primary common population,ROC AUC,held-out repeated stratified evaluation,held-out repeated stratified evaluation,ROC AUC is global and prevalence-insensitive; it is insufficient evidence for a boundary formulation,4030188230258ad5396038ebf680b3441c704261332088ea99a30823638dfa9d,85771,1980,1008,True,True,True
28,figures/28_static_model_heldout_average_precision.png,figures/28_static_model_heldout_average_precision.png,28_static_model_heldout_average_precision.png,Static held-out average precision by model,How well do static models rank the rarer Keyhole class under observed prevalence?,static_model_summary.csv,20 matched outer held-out folds; primary common population,average precision,held-out repeated stratified evaluation,held-out repeated stratified evaluation,average precision depends on prevalence and remains a global rather than boundary-specific metric,33230c547cff3bb7d09f90231ff75d052e3215991f3bd63eb1be1036232eff01,89861,1980,1008,True,True,True
29,figures/29_static_max_depth_regression_rmse.png,figures/29_static_max_depth_regression_rmse.png,29_static_max_depth_regression_rmse.png,Static held-out maximum-depth regression RMSE,"How accurately can maximum depth itself be predicted from P,VX,LS,ST?",static_model_summary.csv,20 matched outer held-out folds; primary common population,RMSE (µm),held-out repeated stratified evaluation,held-out repeated stratified evaluation,regression accuracy does not guarantee correct threshold-side classification near the manual boundary,52721bce16665cd3f6f714e726ca40d3d15cfb883ff155093e30b904661cd234,79858,1980,1008,True,True,True
30,figures/30_static_max_depth_regression_r2.png,figures/30_static_max_depth_regression_r2.png,30_static_max_depth_regression_r2.png,Static held-out maximum-depth regression R²,How much held-out maximum-depth variation do the continuous models explain?,static_model_summary.csv,20 matched outer held-out folds; primary common population,R²,held-out repeated stratified evaluation,held-out repeated stratified evaluation,R² is a global regression measure and may be dominated by regions far from the regime boundary,922906a2d841a03da9ed9e5ab71b281f910675e00ebf57ccbbc3b2fc5e0c57a7,75981,1980,1008,True,True,True
31,figures/31_static_boundary_specific_q20_q30_performance.png,figures/31_static_boundary_specific_q20_q30_performance.png,31_static_boundary_specific_q20_q30_performance.png,Static held-out error on empirical q20 and q30 boundary subsets,Which static formulation is most accurate near observed opposite-label transitions?,static_boundary_metric_summary.csv,test-local q20/q30 subsets across 20 matched held-out folds,misclassification fraction,held-out boundary-specific evaluation,held-out boundary-specific evaluation,boundary subsets use full-label offline evaluation only and never enter model fitting; q10 is intentionally secondary/noisy,703b644ba24d0a53813d1efef5d2ff18f8a6324ae2f278e4c8d0aceb61603aec,100720,2160,1044,True,True,True
32,figures/32_continuous_probability_calibration.png,figures/32_continuous_probability_calibration.png,32_continuous_probability_calibration.png,Held-out Gaussian-tail probability calibration for Max-Depth models,Are held-out max_depth probabilities calibrated?,static_probability_calibration.csv,pooled held-out predictions from 20 matched outer folds,probability / fraction,held-out pooled calibration diagnostic,held-out pooled calibration diagnostic,pooled repeated-fold calibration is descriptive because each simulation appears in several repeats; Gaussian-tail probabilities also inherit the training-only point-threshold approximation,0494428cc6636b1fc3f0d84d306719b8801f893c22c749a6f15121e3b8f9b3a3,146726,1296,1098,True,True,True
33,figures/33_binary_probability_calibration.png,figures/33_binary_probability_calibration.png,33_binary_probability_calibration.png,Held-out probability calibration for Binary models,Are held-out binary probabilities calibrated?,static_probability_calibration.csv,pooled held-out predictions from 20 matched outer folds,probability / fraction,held-out pooled calibration diagnostic,held-out pooled calibration diagnostic,pooled repeated-fold calibration is descriptive because each simulation appears in several repeats; the 0.5 decision boundary is not a physical scalar threshold,70f7d272a336d3907fb646e99a9b7ef0c43b9d6a6e1d287b134292f745beb1c3,155401,1296,1098,True,True,True
34,figures/34_warm_start_class_composition.png,figures/34_warm_start_class_composition.png,34_warm_start_class_composition.png,Shared warm-start class composition across matched runs,How many manual positives and negatives were discovered before active acquisition began?,active_initialization_audit.csv,one shared initialization per matched outer run,simulator-query count,query-sequential training protocol audit; not itself held-out/descriptive/oracle performance,query-sequential training protocol audit; not itself held-out/descriptive/oracle performance,the predetermined permutation is label-blind; only already revealed labels may trigger the both-class stopping rule,8fc09fc2bafd27a7fda380df9d97b9b4c380b7aec256ad6921ee5dbbaf116ead,232426,2160,990,True,True,True
35,figures/35_warm_start_effective_budget.png,figures/35_warm_start_effective_budget.png,35_warm_start_effective_budget.png,Nominal versus effective shared warm-start budget,How often did sequential random querying need to continue beyond n0 to reveal both classes?,active_initialization_audit.csv,one shared initialization per matched outer run,simulator-query count,query-sequential training protocol audit; not itself held-out/descriptive/oracle performance,query-sequential training protocol audit; not itself held-out/descriptive/oracle performance,every extra reveal is counted as a simulator query and is shared identically by all methods within a run,ae498d35d8291e427d38416355d3f13b06fd2a3905caaf0a591fabb03b57de0a,226519,2160,936,True,True,True
36,figures/36_q20_active_learning_curves.png,figures/36_q20_active_learning_curves.png,36_q20_active_learning_curves.png,Active-learning error on held-out empirical q20 boundary points,Which formulation/acquisition reduces primary near-boundary error fastest?,active_learning_curve_summary.csv,20 matched held-out runs; primary common population,q20 misclassification fraction; query count,held-out active-learning evaluation,held-out active-learning evaluation,q20 is computed only on each untouched test fold; shaded bands summarize repeated-CV variability,eb42ed944fad6d8f5ed91b2bb0b01b6adc3027c75c3580ff90ecfb4df4228c6b,282558,1980,1044,True,True,True
37,figures/37_q30_active_learning_curves.png,figures/37_q30_active_learning_curves.png,37_q30_active_learning_curves.png,Active-learning error on held-out empirical q30 boundary points,Does the q20 ranking persist in the broader primary boundary region?,active_learning_curve_summary.csv,20 matched held-out runs; primary common population,q30 misclassification fraction; query count,held-out active-learning evaluation,held-out active-learning evaluation,q30 is boundary-specific but broader than q20; repeated-CV runs are matched rather than independent,cbb9e20003b6da353116c58ec3cd6165dafdb03b6cb6e4f9d8225d18c84b2c30,281216,1980,1044,True,True,True
38,figures/38_balanced_accuracy_learning_curves.png,figures/38_balanced_accuracy_learning_curves.png,38_balanced_accuracy_learning_curves.png,Global held-out balanced-accuracy learning curves,How quickly do methods learn the global manual-label classification task?,active_learning_curve_summary.csv,20 matched held-out runs; primary common population,balanced accuracy; query count,held-out active-learning evaluation,held-out active-learning evaluation,global performance can hide errors concentrated near the regime transition,83fadd32085c2ae73d4c7d0e541439af9df015bfb6616b79f02f8739aeb94701,223369,1980,1044,True,True,True
39,figures/39_roc_auc_learning_curves.png,figures/39_roc_auc_learning_curves.png,39_roc_auc_learning_curves.png,Held-out ROC AUC learning curves,How rapidly do active models learn a useful ranking of held-out manual labels?,active_learning_curve_summary.csv,20 matched held-out runs; primary common population,ROC AUC; query count,held-out active-learning evaluation,held-out active-learning evaluation,ROC AUC is a global ranking metric and a single strong value cannot decide the boundary formulation,33d105d125e2a2fc8bd8fa524213c347d09aa915e54d8dfeb124a8b2bcf90993,190392,1980,1044,True,True,True
40,figures/40_average_precision_learning_curves.png,figures/40_average_precision_learning_curves.png,40_average_precision_learning_curves.png,Held-out average-precision learning curves,How sample-efficiently do methods rank the rarer Keyhole class?,active_learning_curve_summary.csv,20 matched held-out runs; primary common population,average precision; query count,held-out active-learning evaluation,held-out active-learning evaluation,average precision depends on prevalence and is not itself a boundary-distance metric,5a23a5eb5b8280e300cb35270dfe262fbcf344f26b1e6c8b3c6e49af4e5a7881,224786,1980,1044,True,True,True
41,figures/41_brier_score_learning_curves.png,figures/41_brier_score_learning_curves.png,41_brier_score_learning_curves.png,Held-out Brier-score learning curves,How quickly do probabilistic predictions become accurate?,active_learning_curve_summary.csv,20 matched held-out runs; primary common population,Brier score; query count,held-out active-learning evaluation,held-out active-learning evaluation,Max-Depth Gaussian-tail probabilities inherit a training-only point-threshold approximation; lower is better,61246c03f86e87387162a669540f5f1800e8c6538985aea535f6863c200c5da4,249252,1980,1044,True,True,True
42,figures/42_acquired_true_boundary_distance_curves.png,figures/42_acquired_true_boundary_distance_curves.png,42_acquired_true_boundary_distance_curves.png,True empirical boundary distance of acquired points,Do active methods query nearer observed manual-label transitions than their shared random baselines?,active_query_history.csv,queried training-pool simulations across matched runs,standardized 4D opposite-label distance; query count,post-selection evaluation-only acquisition diagnostic; not itself held-out/descriptive/oracle performance,post-selection evaluation-only acquisition diagnostic; not itself held-out/descriptive/oracle performance,the full-label distance is joined only after selection and must never enter acquisition; smaller does not by itself prove better prediction,b06014d9521d66cb5bc4c3298ebcdc5ab9418ad72b38086a6e5cb1a6a1234edb,402351,1980,1026,True,True,True
43,figures/43_query_boundary_distance_method_summary.png,figures/43_query_boundary_distance_method_summary.png,43_query_boundary_distance_method_summary.png,Run-to-run distribution of acquired boundary proximity,Which methods systematically acquire points nearer empirical manual-label transitions?,query_boundary_distance_summary.csv,matched active-learning runs on primary common candidate pools,standardized 4D opposite-label distance,post-selection evaluation-only acquisition diagnostic; not itself held-out/descriptive/oracle performance,post-selection evaluation-only acquisition diagnostic; not itself held-out/descriptive/oracle performance,the boundary score is forbidden from acquisition and this diagnostic cannot establish causal acquisition quality,291891870784ee8ba650016132da72e203ca36a0ded3f1b7de8bd6310c9a575e,129855,2160,1008,True,True,True
44,figures/44_max_depth_threshold_trajectories.png,figures/44_max_depth_threshold_trajectories.png,44_max_depth_threshold_trajectories.png,Queried-only maximum-depth threshold trajectories,How quickly does the queried-only max_depth threshold stabilize?,online_threshold_history.csv,queried subsets from matched active-learning runs,threshold µm; query count,query-only training diagnostic; held-out sets excluded,query-only training diagnostic; held-out sets excluded,"thin lines are individual runs; threshold movement may reflect changing queried-set composition, not a universal physical constant",65070fa5f0cd31584a11268ac5d5cad7c99abd82c49e31c4e2d82eb5ab9c0e5a,255771,1980,1044,True,True,True
45,figures/45_g3_threshold_trajectories.png,figures/45_g3_threshold_trajectories.png,45_g3_threshold_trajectories.png,Queried-only G3 threshold trajectories,How quickly does the queried-only g3 threshold stabilize?,online_threshold_history.csv,queried subsets from matched active-learning runs,threshold µm; query count,query-only training diagnostic; held-out sets excluded,query-only training diagnostic; held-out sets excluded,"thin lines are individual runs; threshold movement may reflect changing queried-set composition, not a universal physical constant",c485e5cd09f5e4b642fa29fcfc0b7fa29816c0c8abff43bb34b541fb55e1112c,162662,1980,1044,True,True,True
46,figures/46_online_threshold_bootstrap_uncertainty.png,figures/46_online_threshold_bootstrap_uncertainty.png,46_online_threshold_bootstrap_uncertainty.png,Selected-set threshold bootstrap uncertainty,How quickly does diagnostic uncertainty in the queried-only scalar threshold contract?,online_threshold_bootstrap_summary.csv,primary 405-row Max-Depth runs plus explicitly secondary 404-row G3-common diagnostics,threshold interval width µm; query count,query-only bootstrap diagnostic; not acquisition input; not itself held-out/descriptive/oracle performance,query-only bootstrap diagnostic; not acquisition input; not itself held-out/descriptive/oracle performance,primary and secondary populations are not pooled for inference; selected-set intervals condition on adaptively queried points and are descriptive rather than formal confidence intervals,a7b1186d54f0c66ca718eae9127d4e0f776ec1c91cc5f3661ef2d3776320430c,235799,1980,1008,True,True,True
47,figures/47_q20_aulc_comparison.png,figures/47_q20_aulc_comparison.png,47_q20_aulc_comparison.png,Primary q20 error AULC comparison,Which method has the best matched q20 sample efficiency?,active_learning_aulc_summary.csv,20 matched primary-common outer runs,normalized AULC (lower is better),held-out active-learning summary,held-out active-learning summary,box points are repeated-CV runs and are not statistically independent; comparisons must remain paired by run,dc5be10f75147e02d0602ea663be6562591fc740d6656762e8a6fdb4c6c6a4d8,152025,2160,1044,True,True,True
48,figures/48_q30_aulc_comparison.png,figures/48_q30_aulc_comparison.png,48_q30_aulc_comparison.png,Primary q30 error AULC comparison,Does the sample-efficiency ranking persist for the broader q30 boundary set?,active_learning_aulc_summary.csv,20 matched primary-common outer runs,normalized AULC (lower is better),held-out active-learning summary,held-out active-learning summary,box points are repeated-CV runs and are not statistically independent; comparisons must remain paired by run,cf71dca7664999c8b2218278257d3378df47cdc681b22e39d097ebce3ea3c40c,150268,2160,1044,True,True,True
49,figures/49_balanced_accuracy_aulc_comparison.png,figures/49_balanced_accuracy_aulc_comparison.png,49_balanced_accuracy_aulc_comparison.png,Global balanced-accuracy AULC comparison,Which method accumulates the strongest global held-out accuracy over the common budget range?,active_learning_aulc_summary.csv,20 matched primary-common outer runs,normalized AULC (higher is better),held-out active-learning summary,held-out active-learning summary,box points are repeated-CV runs and are not statistically independent; comparisons must remain paired by run,26695bc6eaf1a239c999d7d055ef80e1fd9a254faa77a87eea9c776c641e6d14,151398,2160,1044,True,True,True
50,figures/50_q20_aulc_run_to_run_variability.png,figures/50_q20_aulc_run_to_run_variability.png,50_q20_aulc_run_to_run_variability.png,Matched run-to-run variability in q20 error AULC,Are apparent method advantages stable across the same twenty outer splits?,active_learning_aulc_summary.csv,20 matched primary-common outer runs,normalized q20 error AULC,held-out active-learning run diagnostic,held-out active-learning run diagnostic,color comparisons should be made within rows because methods share each run; repeats are not independent experiments,83e9af8572fcca10d3648c2960dbd160c83fef7311d46efe4ccca58d931a50a2,173335,2160,1260,True,True,True
